County,CrimeRte,Percenta
1,8487,74
2,8179,82
3,8362,81
4,8220,81
5,6246,87
6,9100,66
7,6561,68
8,5873,81
9,7993,74
10,7932,82
11,6491,75
12,6816,82
13,9639,78
14,4595,84
15,5037,82
16,4427,79
17,6226,78
18,10768,73
19,8335,77
20,12311,65
21,10104,77
22,10503,76
23,7562,79
24,8593,79
25,7133,78
26,10205,84
27,14016,78
28,5959,81
29,3764,89
30,4297,85
31,7562,77
32,4844,74
33,5777,80
34,3599,84
35,3219,88
36,11187,75
37,2105,77
38,6650,78
39,11371,61
40,4517,91
41,7348,83
42,5696,77
43,4995,85
44,9248,70
45,6860,88
46,9776,80
47,4280,82
48,11154,82
49,3442,82
50,9674,70
51,7309,64
52,4530,79
53,4017,83
54,7122,77
55,5689,76
56,6109,80
57,3343,84
58,5029,82
59,4330,81
60,5425,74
61,8769,81
62,6880,76
63,6538,78
64,6521,78
65,9423,79
66,9697,83
67,3805,79
68,3134,83
69,3433,81
70,2979,84
71,6836,64
72,5804,67
73,7986,75
74,10994,73
75,11322,77
76,8937,64
77,8807,75
78,11087,80
79,10355,83
80,7858,85
81,3632,91
82,8040,88
83,6981,83
84,7582,76
