"","id","PriceUSD","FinishedSqFt","No_Bed","No_Bath","AirCon","Gara_Size","Pool","YearBuilt","Quality","Style","LotSize","AdjHw"
"166",166,330000,2230,3,2,1,2,0,1986,2,1,24798,0
"330",330,205000,1974,3,2,1,2,0,1954,2,1,26196,0
"448",448,167900,2180,4,2,0,2,0,1948,3,3,15001,0
"170",170,399900,3262,5,4,1,2,0,1978,2,7,25541,0
"86",86,609000,2654,5,3,1,3,0,1997,1,1,12821,0
"232",232,208000,2068,3,2,1,2,0,1979,2,1,34773,0
"344",344,190000,1919,3,4,1,2,0,1938,2,7,20093,0
"369",369,214200,1794,3,3,1,3,0,1976,2,2,24308,0
"245",245,315000,2764,3,3,1,3,0,1972,2,7,23947,0
"498",498,147000,1526,3,2,1,1,0,1957,3,1,15007,0
"56",56,360000,2304,5,4,1,3,0,1978,2,1,70240,0
"323",323,258000,2012,5,3,1,2,0,1967,2,2,21303,0
"405",405,184000,1592,4,2,0,2,0,1977,3,1,25943,0
"182",182,291000,2840,4,4,1,2,0,1965,2,7,23079,0
"377",377,169200,1964,4,2,1,2,0,1964,2,7,18162,0
"240",240,218500,2548,2,2,1,2,0,1984,2,3,10210,0
"52",52,160000,1496,2,2,0,1,0,1900,3,5,43335,0
"254",254,180000,1500,2,1,1,0,0,1938,2,3,39776,0
"249",249,276000,2330,3,3,1,2,0,1989,2,7,17433,0
"200",200,333000,2736,4,3,1,2,1,1979,2,7,29591,0
"259",259,290000,2734,4,3,1,2,0,1971,2,7,23488,0
"350",350,217950,1640,4,2,1,2,0,1979,2,3,21314,0
"110",110,529000,3351,5,4,1,3,0,1994,1,7,24216,0
"257",257,219900,2612,3,3,1,2,0,1986,2,7,11288,0
"384",384,159900,1795,1,2,1,2,0,1980,2,11,26467,0
"214",214,310000,2866,5,3,1,3,0,1961,2,7,25249,0
"126",126,550000,2742,3,3,1,3,0,1991,1,1,22306,0
"415",415,195250,1668,3,1,1,2,0,1956,3,3,17060,0
"16",16,527000,3232,5,5,1,2,0,1984,2,6,21445,0
"365",365,165000,1552,3,1,1,3,0,1959,2,3,27068,0
"185",185,264000,1788,3,3,0,2,0,1969,2,1,18484,0
"207",207,224900,2611,3,3,1,2,0,1987,2,7,6924,0
"6",6,248000,1966,4,3,1,5,1,1972,2,1,18902,0
"94",94,535000,3588,4,5,1,3,0,1987,1,7,22530,0
"154",154,395000,3045,4,3,1,1,0,1991,2,7,34356,0
"496",496,150000,1700,4,2,1,1,0,1954,3,1,15391,0
"34",34,272000,2560,4,2,1,3,0,1977,2,5,36100,0
"246",246,315000,2004,4,3,1,2,0,1967,2,3,24453,0
"481",481,190000,1592,3,2,1,2,0,1959,3,1,22748,0
"514",514,200000,1370,4,1,0,1,0,1925,3,4,8000,0
"44",44,175000,1624,3,2,1,2,0,1948,3,1,39219,0
"308",308,189000,1676,3,3,0,2,0,1965,2,3,21780,0
"63",63,253000,2222,4,2,0,2,0,1955,2,1,71527,1
"99",99,480000,3608,6,4,1,3,0,1981,1,7,25219,0
"325",325,198500,2192,4,2,1,2,0,1963,2,2,22851,0
"69",69,585000,2558,2,4,1,3,1,1984,1,3,24601,0
"217",217,304000,2300,5,3,1,2,0,1961,2,3,35824,0
"103",103,479000,5032,7,3,1,3,0,1989,1,7,22000,0
"180",180,249000,2001,3,3,1,2,0,1981,2,3,23812,0
"509",509,155000,1340,3,1,0,0,0,1952,3,1,5666,0
"59",59,355000,2060,2,3,1,2,0,1997,2,1,38623,1
"446",446,350000,2981,5,4,1,2,0,1950,3,6,49756,0
"216",216,307000,2707,4,4,1,2,0,1992,2,7,22094,0
"101",101,610000,3251,3,4,1,3,1,1985,1,1,25570,0
"470",470,173000,1590,2,2,1,2,0,1956,3,1,22336,0
"372",372,208000,1984,5,3,1,2,0,1961,2,1,22047,0
"399",399,236000,1940,4,3,1,2,0,1959,3,1,15073,0
"164",164,295000,2536,3,3,1,3,0,1987,2,7,39427,0
"388",388,195000,1742,1,1,1,2,0,1961,3,1,18250,0
"189",189,369500,3138,4,4,1,2,0,1969,2,7,18190,0
"234",234,320000,2200,4,3,1,2,0,1968,2,1,31450,0
"198",198,275000,2554,5,3,1,2,0,1960,2,7,21820,0
"380",380,185000,2061,3,2,1,2,0,1956,2,2,25379,0
"181",181,330000,2607,5,2,1,2,0,1976,2,3,23139,0
"431",431,175000,1672,3,1,1,2,0,1949,3,1,22617,0
"153",153,400000,3540,4,4,1,3,1,1980,2,7,18012,0
"40",40,171900,1580,2,1,0,1,0,1951,3,4,12417,0
"160",160,437632,2936,4,3,1,3,0,1980,2,5,22844,0
"117",117,545500,3233,4,4,1,3,0,1991,1,7,22961,0
"453",453,190000,1760,3,2,1,2,0,1974,3,2,20193,0
"80",80,647000,2464,3,3,1,3,0,1992,1,1,31703,0
"167",167,400000,2631,4,4,0,2,0,1985,2,7,44885,0
"475",475,153200,1592,4,2,0,1,0,1956,3,1,16396,0
"190",190,285400,2460,5,4,1,2,0,1979,2,7,27492,0
"241",241,377000,2767,3,3,1,3,0,1941,2,4,75232,0
"494",494,147000,1534,3,2,0,1,0,1955,3,3,15361,0
