Case,Price,Assessed,Lot
1,78.8,76.4,0
2,73.8,74.3,0
3,64.6,69.6,0
4,76.2,73.6,0
5,87.2,76.8,0
6,70.6,72.7,1
7,86,79.2,0
8,83.1,75.6,0
9,94.5,78.1,0
10,71.2,76.9,1
11,64.3,68.5,0
12,73.1,73.2,0
13,96.8,77.5,0
14,82.4,76.2,0
15,81.6,75.1,0
16,76.8,77,1
17,77.2,73,0
18,73.7,73,1
19,88.6,77.2,0
20,74.7,73.4,0
21,91.2,78.8,0
22,86.6,77.3,0
23,82.7,76.5,0
24,87.8,76.8,0
25,85,79.4,1
26,69.1,71.5,0
27,69.6,70,1
28,71.2,71.9,0
29,62.9,74.7,1
30,84.1,76.1,0
31,67,72.6,1
32,83.2,77.6,1
33,63.9,70.7,1
34,85.3,76.3,0
35,92.4,77.2,0
36,90.3,77.9,0
37,74.7,72.9,0
38,73.3,73.6,1
39,83.1,75,0
40,69.1,72.5,0
41,75,74.1,1
42,67.4,70.3,1
43,68.4,70.6,0
44,79.3,76.9,1
45,86.4,75.8,0
46,75.8,71.9,0
47,88.8,78.8,0
48,72.7,73.5,1
49,88.9,78.4,0
50,82.7,75.8,0
51,86.6,74.6,0
52,82.8,76.5,0
53,87.9,77.3,0
54,75.5,74.4,0
55,81,71.3,0
56,88.2,74.5,0
57,63.9,69.5,0
58,78.2,75.9,0
59,63.3,68.2,0
60,90.2,78.5,0
61,74.3,73.2,0
62,97.6,79.4,0
63,84.4,74.7,0
64,70.5,71.5,1
