id	count	backlog	team	team_exp	processA	year2001
1	1	12	1	3	0	1
2	2	18	1	6	0	1
3	7	26	1	9	0	1
4	2	28	1	12	0	1
5	1	36	1	15	0	0
6	10	45	1	18	1	0
7	10	36	1	21	1	0
8	1	18	2	3	0	1
9	1	25	2	6	0	1
10	6	28	2	9	0	1
11	5	28	2	12	0	1
12	11	38	2	15	0	0
13	15	38	2	18	1	0
14	13	34	2	21	1	0
15	3	18	3	3	0	1
16	3	23	3	6	0	1
17	13	29	3	9	0	1
18	6	24	3	12	0	1
19	2	32	3	15	0	0
20	11	41	3	18	1	0
21	3	33	3	21	1	0
22	7	21	4	3	0	1
23	12	22	4	6	0	1
24	7	25	4	9	0	1
25	1	27	4	12	0	1
26	10	37	4	15	0	0
27	12	38	4	18	1	0
28	8	34	4	21	1	0
29	1	19	5	3	0	1
30	8	25	5	6	0	1
31	8	24	5	9	0	1
32	5	24	5	12	0	1
33	16	33	5	15	0	0
34	13	34	5	18	1	0
35	22	31	5	21	1	0
36	2	18	6	2	0	1
37	3	24	6	5	0	1
38	5	25	6	8	0	1
39	2	26	6	11	0	1
40	1	38	6	14	0	0
41	20	43	6	17	1	0
42	24	29	6	20	1	0
43	7	16	7	4	0	1
44	11	34	7	7	0	0
45	16	31	7	10	1	0
46	27	26	7	13	1	0
47	5	18	8	5	0	1
48	6	35	8	8	0	0
49	22	38	8	11	1	0
50	30	29	8	14	1	0
51	6	12	9	3	0	1
52	13	23	9	6	0	1
53	6	21	9	9	0	1
54	5	33	9	12	0	0
55	19	37	9	15	1	0
56	22	27	9	18	1	0
57	7	18	10	4	0	1
58	9	20	10	7	0	1
59	8	33	10	10	0	0
60	7	33	10	13	1	0
61	6	33	10	16	1	0
62	3	23	11	5	0	0
63	13	34	11	8	1	0
64	21	29	11	11	1	0
65	7	3	12	3	1	0
66	22	25	12	6	1	0
67	0	15	13	2	0	1
68	2	24	13	5	0	1
69	2	27	13	8	0	1
70	7	28	13	11	0	1
71	7	36	13	14	0	0
72	19	37	13	17	1	0
73	12	26	13	20	1	0
