RUN,RANK,PROB,Z,EV,E
1,22,0.856435644,1.064441565,51.97266065,51.01798
2,5,0.183168317,-0.903356661,-44.10749329,-48.47192
3,10,0.381188119,-0.302361845,-14.76318671,-19.87596
4,11,0.420792079,-0.199867564,-9.758778164,-7.68404
5,21,0.816831683,0.903356661,44.10749329,48.72
6,4,0.143564356,-1.064441565,-51.97266065,-52.57798
7,23,0.896039604,1.259303327,61.48702438,55.2099
8,15,0.579207921,0.199867564,9.758778164,4.01798
9,2,0.064356436,-1.519197179,-74.17665941,-66.38606
10,1,0.024752475,-1.964216842,-95.90528849,-83.87596
11,6,0.222772277,-0.762863922,-37.24776356,-45.17394
12,3,0.103960396,-1.259303327,-61.48702438,-60.28
13,16,0.618811881,0.302361845,14.76318671,5.31596
14,8,0.301980198,-0.518713715,-25.32683125,-20.7699
15,9,0.341584158,-0.408143512,-19.9281059,-20.08808
16,14,0.53960396,0.099436027,4.855085568,0.61394
17,20,0.777227723,0.762863922,37.24776356,42.52808
18,18,0.698019802,0.518713715,25.32683125,27.12404
19,12,0.46039604,-0.099436027,-4.855085568,-6.68404
20,7,0.262376238,-0.636036741,-31.0552714,-34.08808
21,25,0.975247525,1.964216842,95.90528849,103.52808
22,24,0.935643564,1.519197179,74.17665941,84.31596
23,19,0.737623762,0.636036741,31.0552714,38.82606
24,13,0.5,0,0,-5.98202
25,17,0.658415842,0.408143512,19.9281059,10.72
